TICKER,OFTIC,MEASURE,FISCALP,PMON,USFIRM,anndats,actual,surpmean,surpstdev,suescore
ARRA,A,CPS,ANN,12,1,1996-11-29,0.9075,0.885,,
ARRA,A,CPS,ANN,12,1,1997-03-21,0.41559,1.0625,0.03544,-18.25176
ARRA,A,CPS,ANN,12,1,1998-03-12,1.02426,1.15688,0.06099,-2.17444
ARRA,A,EPS,ANN,12,1,1997-03-20,0.855,0.87338,0.03425,-0.53645
ARRA,A,EPS,ANN,12,1,1998-03-12,0.81,0.90556,0.06723,-1.42131
AT1,A,BPS,ANN,10,1,2002-11-18,,12.2,,
AT1,A,BPS,ANN,10,1,2003-11-17,5.97,6.81,2.69568,-0.31161
AT1,A,BPS,ANN,10,1,2004-11-11,6.78,6.49,,
AT1,A,BPS,ANN,10,1,2005-11-14,8.16,8.68,,
AT1,A,BPS,ANN,10,1,2006-11-14,8.28,9.22,,
AT1,A,BPS,ANN,10,1,2007-11-15,7.97,8.55,,
AT1,A,BPS,ANN,10,1,2008-11-14,6.9,9.14,,
AT1,A,BPS,ANN,10,1,2009-11-13,7.24,7.01183,1.03379,0.22071
AT1,A,BPS,ANN,10,1,2010-11-12,9.18,8.48667,0.23922,2.8983
AT1,A,BPS,ANN,10,1,2011-11-15,12.41,12.33043,0.42076,0.18911
AT1,A,BPS,ANN,10,1,2012-11-19,14.98,14.60863,0.45688,0.81285
AT1,A,BPS,ANN,10,1,2013-11-14,15.87,14.35217,0.90543,1.67636
AT1,A,BPS,ANN,10,1,2014-11-17,15.77,16.234,1.74974,-0.26518
AT1,A,BPS,ANN,10,1,2015-11-16,12.51506,12.42857,0.38125,0.22686
AT1,A,BPS,ANN,10,1,2016-11-15,13.08951,13.18143,0.42467,-0.21645
AT1,A,BPS,ANN,10,1,2017-11-20,14.98758,14.49333,0.52428,0.94272
AT1,A,BPS,ANN,10,1,2018-11-19,14.36,14.57667,0.67746,-0.31982
AT1,A,BPS,ANN,10,1,2019-11-25,15.3657,14.662,1.69995,0.41395
AT1,A,BPS,ANN,10,1,2020-11-23,15.92484,16.39,0.71572,-0.64992
AT1,A,BPS,ANN,10,1,2021-11-22,17.84437,16.79333,0.11015,9.54178
AT1,A,BPS,ANN,10,1,2022-11-21,17.92881,18.1582,0.76648,-0.29928
AT1,A,BPS,ANN,10,1,2023-11-20,20.00868,19.315,0.98605,0.70349
AT1,A,BPS,ANN,10,1,2024-11-25,20.68073,19.44667,3.51638,0.35095
AT1,A,BPS,ANN,10,1,2025-11-24,23.81521,23.2575,0.82585,0.67532
AT1,A,CPS,ANN,10,1,2002-11-18,,-0.08,,
AT1,A,CPS,ANN,10,1,2003-11-18,-0.54,-1.635,3.01935,0.36266
AT1,A,CPS,ANN,10,1,2004-11-11,1.418,1.205,0.37477,0.56835
AT1,A,CPS,ANN,10,1,2005-11-14,1.26,1.335,0.0495,-1.51523
AT1,A,CPS,ANN,10,1,2006-11-17,2.0839,4.455,5.19724,-0.45622
AT1,A,CPS,ANN,10,1,2007-11-15,2.38,1.94,0.14142,3.11127
AT1,A,CPS,ANN,10,1,2008-11-14,2.04,1.6,,
AT1,A,CPS,ANN,10,1,2009-11-13,1.16,0.696,0.46103,1.00643
AT1,A,CPS,ANN,10,1,2010-11-12,2.02,1.89167,0.53043,0.24194
AT1,A,CPS,ANN,10,1,2011-11-15,3.55,3.14667,0.46576,0.86597
AT1,A,CPS,ANN,10,1,2012-11-19,3.48,3.16667,0.05132,6.10596
AT1,A,CPS,ANN,10,1,2013-11-14,3.34,3.4708,0.2796,-0.46782
AT1,A,CPS,ANN,10,1,2014-11-17,2.11,3.3,0.29103,-4.08888
AT1,A,CPS,ANN,10,1,2015-11-16,1.47,1.75,0.32535,-0.86062
AT1,A,CPS,ANN,10,1,2016-11-15,2.41,2.262,0.1033,1.43278
AT1,A,CPS,ANN,10,1,2017-11-20,2.73,2.63,0.17649,0.56659
AT1,A,CPS,ANN,10,1,2018-11-19,3.34,2.966,0.8776,0.42616
AT1,A,CPS,ANN,10,1,2019-11-25,3.21,3.61,0.33668,-1.18809
AT1,A,CPS,ANN,10,1,2020-11-23,2.95,3.214,0.30328,-0.87048
AT1,A,CPS,ANN,10,1,2021-11-22,4.84,4.51,0.07659,4.30843
AT1,A,CPS,ANN,10,1,2022-11-21,4.37,5.021,0.64137,-1.01501
AT1,A,CPS,ANN,10,1,2023-11-20,5.98,5.304,1.0551,0.6407
AT1,A,CPS,ANN,10,1,2024-11-25,6.01,5.3725,0.41772,1.52613
AT1,A,CPS,ANN,10,1,2025-11-24,5.469,5.26,1.01642,0.20562
AT1,A,CPX,ANN,10,1,2006-11-17,,207.5,10.6066,
AT1,A,CPX,ANN,10,1,2007-11-15,154,150,0,
AT1,A,CPX,ANN,10,1,2008-11-14,154,166.33333,11.71893,-1.05243
AT1,A,CPX,ANN,10,1,2009-11-13,128,130.4,3.04959,-0.78699
AT1,A,CPX,ANN,10,1,2010-11-12,119,126.3,8.00396,-0.91205
AT1,A,CPX,ANN,10,1,2011-11-15,188,183.08778,23.93286,0.20525
AT1,A,CPX,ANN,10,1,2012-11-19,193,179.42,18.08085,0.75107
AT1,A,CPX,ANN,10,1,2013-11-14,195,421.43636,683.77982,-0.33115
AT1,A,CPX,ANN,10,1,2014-11-17,207,234.2,17.07923,-1.59258
AT1,A,CPX,ANN,10,1,2015-11-16,98,108.22222,8.94117,-1.14328
AT1,A,CPX,ANN,10,1,2016-11-15,139,126.3975,31.20167,0.4039
AT1,A,CPX,ANN,10,1,2017-11-20,176,183.75,4.39968,-1.76149
AT1,A,CPX,ANN,10,1,2018-11-19,177,197.15,7.21214,-2.7939
AT1,A,CPX,ANN,10,1,2019-11-25,155,168.1875,7.12108,-1.8519
AT1,A,CPX,ANN,10,1,2020-11-23,119,129.55,13.39584,-0.78756
AT1,A,CPX,ANN,10,1,2021-11-22,188,183,33.8408,0.14775
AT1,A,CPX,ANN,10,1,2022-11-21,291,299.28367,8.75013,-0.94669
AT1,A,CPX,ANN,10,1,2023-11-20,298,317.99889,48.66575,-0.41094
AT1,A,CPX,ANN,10,1,2024-11-25,378,377.615,36.68251,0.0105
AT1,A,CPX,ANN,10,1,2025-11-24,407,446.84556,7.57102,-5.26291
AT1,A,DPS,ANN,10,1,2009-11-13,,0,0,
AT1,A,DPS,ANN,10,1,2010-11-12,,0,0,
AT1,A,DPS,ANN,10,1,2011-11-15,,0,0,
AT1,A,DPS,ANN,10,1,2012-11-19,0.3,0.31222,0.03308,-0.36945
AT1,A,DPS,ANN,10,1,2013-11-14,0.46,0.456,0.02468,0.16209
AT1,A,DPS,ANN,10,1,2014-11-17,0.528,0.5225,0.00957,0.57447
AT1,A,DPS,ANN,10,1,2015-11-16,0.4,0.393,0.02584,0.27089
AT1,A,DPS,ANN,10,1,2016-11-15,0.46,0.45,0.02749,0.36381
AT1,A,DPS,ANN,10,1,2017-11-20,0.528,0.51222,0.04266,0.36989
AT1,A,DPS,ANN,10,1,2018-11-19,0.596,0.5992,0.00253,-1.26482
AT1,A,DPS,ANN,10,1,2019-11-25,0.656,0.65375,0.00744,0.30242
AT1,A,DPS,ANN,10,1,2020-11-23,0.72,0.7124,0.02573,0.29538
AT1,A,DPS,ANN,10,1,2021-11-22,,0.77557,0.07809,
AT1,A,DPS,ANN,10,1,2022-11-21,0.73,0.8353,0.04324,-2.43519
AT1,A,DPS,ANN,10,1,2023-11-20,0.9,0.91,0.03347,-0.29881
AT1,A,DPS,ANN,10,1,2024-11-25,0.944,0.9359,0.01836,0.44125
AT1,A,DPS,ANN,10,1,2025-11-24,0.992,0.9903,0.01632,0.10419
AT1,A,EBG,ANN,10,1,2002-11-18,-0.84,-0.964,0.0573,2.16419
AT1,A,EBG,ANN,10,1,2003-11-18,,0.11,,
AT1,A,EBI,ANN,10,1,2003-11-17,-289,-388,,
AT1,A,EBI,ANN,10,1,2004-11-11,386,672,,
AT1,A,EBI,ANN,10,1,2005-11-14,600,575,,
AT1,A,EBI,ANN,10,1,2006-11-17,832,865,,
AT1,A,EBI,ANN,10,1,2007-11-15,861,716.7,,
AT1,A,EBI,ANN,10,1,2008-11-14,881,858,,
AT1,A,EBI,ANN,10,1,2009-11-13,393,360.30475,6.28055,5.20579
AT1,A,EBI,ANN,10,1,2010-11-12,939,918.602,6.84901,2.97824
AT1,A,EBI,ANN,10,1,2011-11-15,934,1297.92,10.73229,-33.90888
AT1,A,EBI,ANN,10,1,2012-11-19,1395,1358.97607,10.66643,3.37732
AT1,A,EBI,ANN,10,1,2013-11-14,1277,1241.96187,51.53319,0.67991
AT1,A,EBI,ANN,10,1,2014-11-17,1262,1305.99044,67.42368,-0.65245
AT1,A,EBI,ANN,10,1,2015-11-16,763,736.4753,49.82834,0.53232
AT1,A,EBI,ANN,10,1,2016-11-15,851,841.5515,189.0678,0.04997
AT1,A,EBI,ANN,10,1,2017-11-20,1030,961.93714,4.60609,14.77673
AT1,A,EBI,ANN,10,1,2018-11-19,1098,1082.52217,42.24292,0.3664
AT1,A,EBI,ANN,10,1,2019-11-25,1181,1153.485,82.01524,0.33549
AT1,A,EBI,ANN,10,1,2020-11-23,1231,1232.24273,27.3636,-0.04542
AT1,A,EBI,ANN,10,1,2021-11-22,1600,1544.19589,134.17253,0.41591
AT1,A,EBI,ANN,10,1,2022-11-21,1871,1741.913,121.48549,1.06257
AT1,A,EBI,ANN,10,1,2023-11-20,1866,1789.88979,173.79639,0.43793
AT1,A,EBI,ANN,10,1,2024-11-25,1716,1674.50893,97.93929,0.42364
AT1,A,EBI,ANN,10,1,2025-11-24,,1702.83271,122.15114,
AT1,A,EBS,ANN,10,1,2002-11-18,,-1.09,,
AT1,A,EBS,ANN,10,1,2003-11-18,,-0.07,,
AT1,A,EBS,ANN,10,1,2004-11-11,,1.91,,
AT1,A,EBS,ANN,10,1,2005-11-14,,1.55,,
AT1,A,EBS,ANN,10,1,2006-11-17,2.3,2.39,,
AT1,A,EBS,ANN,10,1,2007-11-15,2.59,2.57,,
AT1,A,EBS,ANN,10,1,2009-11-13,1.47,1.55,,
