regime,start,end,n_days,cumulative_return,annualized_return,annualized_vol,sharpe,max_drawdown,worst_day,worst_week
GFC_Lehman,2008-09-01,2009-03-31,146,-0.046477456178961485,-0.0788620398364166,0.049186050227579256,-1.6448903001412754,-0.06508675069015768,-0.027032103297692615,-0.03362201312933692
Flash_Crash,2010-05-03,2010-05-31,20,-0.05852440069852327,-0.5322710350177193,0.26681731723035823,-2.710663545781936,-0.0853998454136976,-0.033485106682803974,-0.05901806404894675
EU_Debt_Crisis,2011-07-01,2011-10-31,85,-0.033842358204496215,-0.09703337657272892,0.06710933960932883,-1.4870711742027125,-0.05515382483658848,-0.014161248697624564,-0.03562537044016108
China_Devaluation,2015-08-01,2015-09-30,42,-0.02040746409611982,-0.11636521496149455,0.07327075923337102,-1.6512343894384653,-0.03592852500818722,-0.01918524215986432,-0.03538758708870898
Brexit,2016-06-17,2016-07-15,20,0.03674940594561815,0.5757590836681239,0.1882552668858894,2.512698726267739,-0.051785509352503145,-0.034999388242672985,-0.03667118166719378
Q4_2018_Selloff,2018-10-01,2018-12-31,63,-0.07854617778919704,-0.2790679993476297,0.10743468855597663,-2.989437921702767,-0.08244787407035115,-0.0283839111002823,-0.05514647595569971
Volmageddon,2018-02-01,2018-02-28,19,-0.05408154888128014,-0.5216522124677309,0.22762150822376276,-3.1200091827175327,-0.07848796041978212,-0.03690323583390108,-0.08042040355397975
COVID_Crash,2020-02-15,2020-04-30,52,-0.0799307474915163,-0.3321657913849011,0.10091292086544772,-3.946146359590488,-0.09060788485473004,-0.03078014811297294,-0.07943821096671803
2022_Rate_Shock,2022-01-01,2022-10-31,209,-0.08538676900050146,-0.10202878421216788,0.12056393139248768,-0.8319597601613351,-0.1381035159218823,-0.030544581108230245,-0.045508492888544104
SVB_Regional_Banks,2023-03-01,2023-05-31,64,-0.05175915639894546,-0.1888200363459871,0.08622240972544683,-2.382738106915854,-0.06184425726232878,-0.018824584147343268,-0.04951336967695259
