regime,start,end,n_days,cumulative_return,annualized_return,annualized_vol,sharpe,max_drawdown,worst_day,worst_week
GFC_Lehman,2008-09-01,2009-03-31,146,-0.05252457707185121,-0.08892181997321447,0.054759974331667946,-1.6726102528102635,-0.07055168509812504,-0.02785346989571858,-0.032816106110174284
Flash_Crash,2010-05-03,2010-05-31,20,-0.05922872404662116,-0.5366608307409638,0.2752361849489911,-2.6536736741350344,-0.08719965670986285,-0.03421186614752492,-0.06115196112978975
EU_Debt_Crisis,2011-07-01,2011-10-31,85,-0.0427214463297132,-0.12141411166990557,0.07710104832662387,-1.6398405351811902,-0.06995432706961435,-0.016306280443771415,-0.03865310451765345
China_Devaluation,2015-08-01,2015-09-30,42,-0.025937592744836535,-0.14587645160853568,0.08099056410045534,-1.9056345768229652,-0.045738729585713345,-0.020421419425469173,-0.044204036379393186
Brexit,2016-06-17,2016-07-15,20,0.039165017972982774,0.6226502903762083,0.16980029838678623,2.9389916280278494,-0.04446708984910952,-0.03111482730015755,-0.030391320608986326
Q4_2018_Selloff,2018-10-01,2018-12-31,63,-0.09168487374055223,-0.3193149905009932,0.119938572258609,-3.144004601661449,-0.09970018370317768,-0.032509455584869264,-0.06273376967898583
Volmageddon,2018-02-01,2018-02-28,19,-0.06395474189096684,-0.5837966641388815,0.2568782285434198,-3.2762789260959977,-0.09162189558088196,-0.04469807587175278,-0.0942117058656109
COVID_Crash,2020-02-15,2020-04-30,52,-0.09018813706809803,-0.36748167028728884,0.11101528522519054,-4.0657630873620105,-0.10295765249474609,-0.032978741231010335,-0.089186045331159
2022_Rate_Shock,2022-01-01,2022-10-31,209,-0.09076941320821041,-0.10839690727251927,0.12358479622558863,-0.8661765462517946,-0.14157492171174435,-0.03173762921886571,-0.04754317018569127
SVB_Regional_Banks,2023-03-01,2023-05-31,64,-0.05471907165089285,-0.19874449331304433,0.08664325849878196,-2.5126989886112114,-0.06493809256937977,-0.018856347644432836,-0.050225429307855396
